	EC number
1188	2.1.1.271
1189	4.2.1.142
1190	1.14.14.163
1191	3.4.24.63
1192	3.1.4.1
1193	5.1.99.5
1194	1.3.1.88
1195	4.2.3.22
1196	2.4.1.153
1197	2.7.8.36
1198	4.2.3.50
1199	5.4.99.5
1200	2.3.1.232
1201	4.3.1.15
1202	4.1.2.9
1203	1.21.99.3
1204	1.14.19.68
1205	1.14.14.169
1206	1.2.1.67
1207	2.5.1.138
1208	2.7.7.n1
1209	1.2.1.79
1210	5.4.99.16
1211	3.8.1.5
1212	1.4.1.4
1213	1.3.1.76
1214	4.2.1.78
1215	2.7.7.48
1216	2.1.1.264
1217	3.5.5.4
1218	1.3.8.7
1219	1.1.2.8
1220	4.99.1.3
1221	2.4.1.52
1222	1.14.17.3
1223	6.5.1.3
1224	2.1.1.199
1225	1.1.99.36
1226	4.1.1.52
1227	3.1.1.n2
1228	4.2.3.44
1229	1.5.1.3
1230	1.13.11.74
1231	1.3.3.5
1232	2.4.2.47
1233	1.1.1.377
1234	1.1.1.411
1235	1.4.1.21
1236	4.2.1.67
1237	2.3.1.248
1238	1.12.98.4
1239	3.1.7.12
1240	4.2.3.186
1241	1.14.14.114
1242	2.5.1.135
1243	1.8.1.19
1244	1.1.1.22
1245	1.14.19.50
1246	3.6.1.5
1247	1.18.6.1
1248	1.14.20.8
1249	3.4.21.62
1250	4.2.3.174
1251	4.2.1.145
1252	2.8.1.11
1253	2.1.1.235
1254	2.4.1.301
1255	2.7.1.50
1256	4.2.3.5
1257	3.1.16.1
1258	3.4.21.68
1259	1.14.11.64
1260	4.2.3.140
1261	1.14.15.39
1262	3.5.1.2
1263	1.1.1.251
1264	1.14.11.11
1265	7.2.4.2
1266	2.7.7.14
1267	5.3.1.35
1268	2.6.1.96
1269	4.4.1.17
1270	3.1.1.11
1271	3.4.21.83
1272	2.1.1.368
1273	3.4.23.5
1274	3.4.24.82
1275	1.3.5.6
1276	1.14.14.28
1277	6.3.4.10
1278	1.7.6.1
1279	4.1.3.39
1280	4.2.1.25
1281	2.3.1.265
1282	6.3.2.45
1283	4.3.2.2
1284	1.2.1.80
1285	2.3.2.34
1286	2.7.11.21
1287	4.1.1.50
1288	3.1.1.27
1289	2.5.1.70
1290	1.1.1.189
1291	3.4.13.21
1292	2.4.1.146
1293	2.3.1.107
1294	4.4.1.37
1295	2.7.1.170
1296	3.1.26.1
1297	3.4.11.26
1298	2.4.1.132
1299	3.5.3.10
1300	6.3.2.10
1301	3.5.1.122
1302	3.5.2.19
1303	3.4.11.17
1304	1.12.1.2
1305	1.14.20.7
1306	1.10.3.2
1307	4.2.1.120
1308	5.1.99.7
1309	2.7.1.137
1310	2.7.8.1
1311	4.1.1.43
1312	2.7.7.24
1313	1.14.11.42
1314	3.4.14.1
1315	1.3.1.119
1316	1.3.3.12
1317	4.2.1.22
1318	4.2.1.153
1319	2.1.1.246
1320	1.16.1.6
1321	6.3.2.42
1322	2.5.1.43
1323	1.1.1.62
1324	3.5.4.2
1325	3.4.24.64
1326	4.1.3.46
1327	2.1.1.198
1328	2.3.2.18
1329	1.14.11.n4
1330	2.1.1.361
1331	4.2.1.174
1332	1.11.1.6
1333	4.1.1.45
1334	4.1.1.28
1335	2.4.2.10
1336	6.3.4.21
1337	2.4.1.253
1338	2.5.1.136
1339	6.3.2.14
1340	3.2.1.81
1341	4.1.1.72
1342	2.4.1.80
1343	5.3.2.6
1344	1.14.11.15
1345	2.7.1.76
1346	4.2.1.121
1347	1.1.1.283
1348	1.3.1.123
1349	1.2.1.11
1350	1.2.1.12
