data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,rc_agg,10,"(0.4, 0.6)",binary_precision,0.7213941853304915,0.6906744893501682,0.7506630761080699,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.4, 0.6)",binary_recall,0.7468266713711584,0.7198447875166003,0.7862260980789554,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.4, 0.6)",accuracy,0.9519783745247148,0.9478285408745247,0.9546221482889734,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.4, 0.6)",roc_auc,0.9549915191413948,0.9503210773370254,0.9597255054723817,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.0, 0.4)",f1,0.516608876657941,0.48914449990522524,0.5398663021813267,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.0, 0.4)",binary_precision,0.6662462894366523,0.6402594638490782,0.6866211640973923,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.0, 0.4)",binary_recall,0.4218581185914359,0.40317688121694056,0.4435427220035643,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.0, 0.4)",accuracy,0.8896926431284287,0.8853302152201434,0.8934888873259249,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,10,"(0.0, 0.4)",roc_auc,0.9203780819476288,0.9133705239639083,0.9243086246869551,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_cxn,1,"(0.8, 1)",f1,0.9505511238378134,0.9438062988822631,0.9558494469753882,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.8, 1)",binary_precision,0.9482400888826984,0.939491725980703,0.9587513489052112,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.8, 1)",binary_recall,0.9500311227910178,0.941993268986538,0.959709292271332,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.8, 1)",accuracy,0.9560950052392595,0.9496507160321341,0.9623471882640587,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.8, 1)",roc_auc,0.9843105555730107,0.9796485179691211,0.9889258842291673,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.6, 0.8)",f1,0.928223405476268,0.9198270747474383,0.9362624613683668,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.6, 0.8)",binary_precision,0.9450888049023967,0.9369442953328937,0.9572250079911262,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.6, 0.8)",binary_recall,0.9148098110644604,0.9001163900104888,0.9237511258986304,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.6, 0.8)",accuracy,0.933234830575256,0.9247241922773838,0.9431934594168637,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.6, 0.8)",roc_auc,0.9780339515223118,0.9737751804294883,0.9823228482401707,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.4, 0.6)",f1,0.8313282995831637,0.8157120514253047,0.8482339333248827,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.4, 0.6)",binary_precision,0.9283354990321975,0.9132694367102163,0.9460918213878229,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.4, 0.6)",binary_recall,0.7501711095085225,0.72412468858726,0.7720594361218388,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.4, 0.6)",accuracy,0.8573019801980198,0.8414913366336634,0.8745977722772277,5ca6ba7b8aec4b81a366e9138b9c09b0
rcmcs,rc_cxn,1,"(0.4, 0.6)",roc_auc,0.9507933131469596,0.9428535772921366,0.9595436544389663,5ca6ba7b8aec4b81a366e9138b9c09b0
